supplier_id,supplier_name,country,region,industry,supplier_tier,established_year,employee_count,annual_revenue_millions,credit_rating,payment_terms_days,is_strategic_supplier,relationship_start_date,primary_contact_email,sustainability_score,certifications
SUP00130,Global Solutions Co,Turkey,Europe,Textiles,Tier 3,1994,50,1283.8,BBB,45,True,2019-07-22,procurement130@supplier130.com,83.5,"[""CE"", ""IATF 16949"", ""ISO 45001"", ""ISO 14001"", ""AS9100""]"
SUP00131,International Manufacturing Inc,USA,Asia Pacific,Automotive,Tier 2,2009,500,3631.85,AA,60,True,2021-02-22,procurement131@supplier131.com,75.6,"[""CE"", ""ISO 14001"", ""IATF 16949"", ""ISO 9001"", ""ISO 45001""]"
SUP00132,International Industries Co,South Korea,Latin America,Packaging,Tier 2,1996,250,2966.85,AA,30,False,2015-01-02,procurement132@supplier132.com,79.0,"[""CE"", ""IATF 16949"", ""FDA"", ""ISO 14001""]"
SUP00133,Advanced Industries Corp,Brazil,Europe,Chemicals,Tier 3,1984,100,515.55,A,45,False,2018-05-29,procurement133@supplier133.com,68.8,"[""ISO 9001"", ""ISO 14001"", ""AS9100"", ""FDA""]"
SUP00134,Global Industries Corp,South Korea,North America,Electronics,Tier 1,2008,50,4594.16,A,60,True,2018-03-21,procurement134@supplier134.com,76.9,"[""ISO 14001"", ""CE"", ""IATF 16949""]"
SUP00135,Advanced Industries GmbH,UK,Latin America,Plastics,Tier 2,1983,1000,3951.47,BBB,90,False,2017-05-10,procurement135@supplier135.com,59.7,"[""UL""]"
SUP00136,Strategic Technologies Corp,USA,Latin America,Chemicals,Tier 2,1989,2500,120.0,A,60,True,2019-10-27,procurement136@supplier136.com,68.2,"[""ISO 45001""]"
SUP00137,International Systems Co,Poland,North America,Packaging,Tier 1,1996,500,3258.58,BBB,90,False,2021-07-03,procurement137@supplier137.com,84.7,"[""ISO 45001"", ""ISO 9001"", ""IATF 16949"", ""UL""]"
SUP00138,Global Systems Co,UK,Europe,Food & Beverage,Tier 2,1989,100,3857.38,BBB,90,True,2021-10-20,procurement138@supplier138.com,92.3,"[""CE"", ""FDA"", ""ISO 9001""]"
SUP00139,Advanced Systems Inc,UK,North America,Packaging,Tier 2,1996,10000,1875.3,BBB,30,False,2022-05-05,procurement139@supplier139.com,66.0,"[""CE"", ""ISO 45001"", ""FDA""]"
SUP00140,Premier Components Inc,Indonesia,Latin America,Machinery,Tier 3,1999,100,349.26,BB,45,True,2018-08-12,procurement140@supplier140.com,42.6,"[""ISO 9001"", ""AS9100"", ""UL"", ""ISO 14001""]"
SUP00141,Global Systems Co,Thailand,Middle East,Packaging,Tier 3,2003,250,391.22,A,60,False,2020-03-19,procurement141@supplier141.com,49.7,"[""IATF 16949"", ""FDA"", ""ISO 9001""]"
SUP00142,Premier Components Corp,Germany,Middle East,Machinery,Tier 3,1984,10000,525.71,BB,30,False,2019-12-15,procurement142@supplier142.com,41.3,"[""ISO 14001"", ""CE"", ""FDA"", ""ISO 9001""]"
SUP00143,International Industries Corp,USA,Asia Pacific,Food & Beverage,Tier 3,2013,250,4203.0,A,60,False,2019-12-17,procurement143@supplier143.com,79.2,"[""ISO 45001"", ""FDA"", ""UL"", ""ISO 9001""]"
SUP00144,Premier Systems Corp,UK,North America,Metals,Tier 2,1985,1000,4553.88,A,90,True,2022-07-30,procurement144@supplier144.com,59.9,"[""FDA""]"
SUP00145,International Solutions Corp,Germany,North America,Machinery,Tier 1,1981,2500,618.44,B,45,False,2017-05-25,procurement145@supplier145.com,72.5,"[""AS9100""]"
SUP00146,Strategic Manufacturing Inc,Germany,Asia Pacific,Electronics,Tier 2,1992,1000,1183.35,AA,60,False,2020-09-24,procurement146@supplier146.com,69.6,"[""FDA"", ""IATF 16949"", ""ISO 14001""]"
SUP00147,Dynamic Solutions Corp,USA,Asia Pacific,Packaging,Tier 2,1990,50,831.77,AA,60,True,2020-04-22,procurement147@supplier147.com,44.9,"[""CE"", ""AS9100""]"
SUP00148,Global Manufacturing Corp,Thailand,Asia Pacific,Packaging,Tier 1,2002,50,935.67,BB,90,False,2016-11-26,procurement148@supplier148.com,64.2,"[""ISO 45001"", ""ISO 14001""]"
SUP00149,Strategic Industries Corp,Japan,Latin America,Electronics,Tier 2,1995,1000,4188.27,AA,60,False,2022-05-22,procurement149@supplier149.com,53.2,"[""CE""]"
SUP00150,Premier Systems GmbH,Vietnam,North America,Automotive,Tier 2,2010,2500,1664.07,BB,60,True,2015-12-14,procurement150@supplier150.com,65.1,"[""IATF 16949"", ""UL"", ""AS9100"", ""ISO 14001"", ""FDA""]"
